Ch_1,Ch_2,Ch_3,Ch_4,Sample
7.0502,87.267,25.336,11.65,503
8.0498,92.092,26.596,13.391,504
11.484,90.949,26.245,16.846,505
8.7313,89.19,22.663,20.44,506
0.9873,74.132,8.1888,12.481,507
6.8771,80.54,19.493,20.502,508
7.847,70.487,25.332,24,509
15.645,90.19,27.859,26.718,510
5.4547,72.782,10.973,10.173,511
7.9268,80.712,15.73,13.147,512
-4.1778,71.459,7.2318,0.18263,513
0.44204,76.261,14.071,3.2655,514
-7.087,57.269,10.388,2.6573,515
-4.5269,32.251,12.151,3.0469,516
0.4238,44.34,9.5127,2.9334,517
2.7747,40.511,-1.6577,-3.0179,518
18.038,14.395,3.1092,-4.7288,519
48.329,15.32,6.7031,-6.7818,520
128.08,-6.5298,28.97,9.0494,521
215.56,-72.778,60.41,37.563,522
285.6,-96.899,91.95,63.196,523
321.66,-145.07,97.821,63.37,524
332.16,-136.3,111.24,77.558,525
305.99,-128.33,96.377,65.91,526
284.1,-105.42,88.385,59.043,527
238.24,-107.03,61.718,34.101,528
211.58,-86.936,47.618,19.745,529
183.91,-79.804,37.906,15.917,530
162.87,-59.278,33.009,17.549,531
131.25,-41.14,12.879,0.022985,532
103.14,-34.548,1.492,-7.6605,533
77.049,-34.921,-1.5347,-9.1583,534
53.663,-35.287,-8.7341,-12.856,535
43.191,-19.774,-5.1106,-5.9839,536
26.778,-19.719,-9.2709,-6.9949,537
26.234,-2.6068,2.2637,5.2842,538
22.272,-9.0745,8.6851,12.567,539
29.838,7.6448,23.716,28.492,540
15.901,3.0617,12.897,20.26,541
10.159,16.963,10.61,17,542
5.0352,5.7172,8.1847,10.308,543
21.254,22.955,25.952,25.449,544
6.6211,22.118,11.675,11.603,545
-8.932,19.901,-4.014,0.43699,546
-11.464,18.074,-10.896,-5.751,547
-18.121,19.18,-11.672,-10.623,548
-27.004,14.998,-14.759,-14.118,549
-31.676,10.02,-25.287,-23.407,550
-39.51,12.19,-30.217,-29.667,551
-44.291,6.8544,-36.121,-32.634,552
-43.553,15.951,-38.625,-32.174,553
-46.187,3.5624,-39.394,-31.775,554
-37.232,11.716,-26.63,-18.143,555
-48.153,-3.844,-37.87,-33.072,556
-40.236,9.6202,-26.818,-23.983,557
-36.157,4.3902,-22.213,-18.056,558
-23.562,15.902,-11.373,-11.77,559
-33.648,-1.8443,-18.618,-20.182,560
-34.937,0.34089,-19.876,-22.846,561
-37.514,1.5391,-29.03,-29.377,562
-41.083,-0.30035,-25.908,-25.923,563
-54.219,-8.4596,-30.713,-32.809,564
-53.953,-14.335,-33.362,-29.573,565
-47.882,-8.3776,-25.537,-21.308,566
-46.469,-7.1947,-26.533,-23.274,567
-44.917,-1.4532,-19.889,-18.676,568
